Symbol,Name,Sector,CommonName
MMM,3M Company,Industrials,3M
AOS,A.O. Smith Corp,Industrials,A.O. Smith
ABT,Abbott Laboratories,Health Care,Abbott
ABBV,AbbVie Inc.,Health Care,AbbVie
ABMD,ABIOMED Inc,Health Care,ABIOMED
ACN,Accenture plc,Information Technology,Accenture
ATVI,Activision Blizzard,Communication Services,Activision
ADBE,Adobe Inc.,Information Technology,Adobe
AAP,Advance Auto Parts,Consumer Discretionary,Advance Auto Parts
AMD,Advanced Micro Devices Inc,Information Technology,AMD
AES,AES Corp,Utilities,AES
AFL,AFLAC Inc,Financials,AFLAC
A,Agilent Technologies Inc,Health Care,Agilent
APD,Air Products & Chemicals Inc,Materials,APD
AKAM,Akamai Technologies Inc,Information Technology,Akamai
ALK,Alaska Air Group Inc,Industrials,Alaska Air
ALB,Albemarle Corp,Materials,Albemarle
ARE,Alexandria Real Estate Equities,Real Estate,Alexandria
ALXN,Alexion Pharmaceuticals,Health Care,Alexion
ALGN,Align Technology,Health Care,Align Technology
ALLE,Allegion,Industrials,Allegion
LNT,Alliant Energy Corp,Utilities,Alliant Energy
ALL,Allstate Corp,Financials,Allstate
GOOGL,Alphabet Inc. (Class A),Communication Services,Google
GOOG,Alphabet Inc. (Class C),Communication Services,Google
MO,Altria Group Inc,Consumer Staples,Altria
AMZN,Amazon.com Inc.,Consumer Discretionary,Amazon
AMCR,Amcor plc,Materials,Amcor
AEE,Ameren Corp,Utilities,Ameren
AAL,American Airlines Group,Industrials,American Airlines
AEP,American Electric Power,Utilities,American Electric
AXP,American Express Co,Financials,American Express
AIG,American International Group,Financials,American International
AMT,American Tower Corp.,Real Estate,American Tower
AWK,American Water Works Company Inc,Utilities,American Water Works Company
AMP,Ameriprise Financial,Financials,Ameriprise Financial
ABC,AmerisourceBergen Corp,Health Care,AmerisourceBergen
AME,AMETEK Inc.,Industrials,AMETEK
AMGN,Amgen Inc.,Health Care,Amgen
APH,Amphenol Corp,Information Technology,Amphenol
ADI,Analog Devices Inc.,Information Technology,Analog Devices
ANSS,ANSYS,Information Technology,ANSYS
ANTM,Anthem,Health Care,Anthem
AON,Aon plc,Financials,Aon
APA,Apache Corporation,Energy,Apache
AIV,Apartment Investment & Management,Real Estate,AIV
AAPL,Apple Inc.,Information Technology,Apple
AMAT,Applied Materials Inc.,Information Technology,Applied Materials
APTV,Aptiv PLC,Consumer Discretionary,Aptiv
ADM,Archer-Daniels-Midland Co,Consumer Staples,Archer-Daniels-Midland
ANET,Arista Networks,Information Technology,Arista
AJG,Arthur J. Gallagher & Co.,Financials,AJG
AIZ,Assurant,Financials,Assurant
T,AT&T Inc.,Communication Services,AT&T
ATO,Atmos Energy,Utilities,Atmos Energy
ADSK,Autodesk Inc.,Information Technology,Autodesk
ADP,Automatic Data Processing,Information Technology,ADP
AZO,AutoZone Inc,Consumer Discretionary,AutoZone
AVB,AvalonBay Communities,Real Estate,AvalonBay
AVY,Avery Dennison Corp,Materials,Avery Dennison
BKR,Baker Hughes Co,Energy,Baker Hughes
BLL,Ball Corp,Materials,Ball Corp
BAC,Bank of America Corp,Financials,Bank of America
BAX,Baxter International Inc.,Health Care,Baxter International
BDX,Becton Dickinson,Health Care,Becton Dickinson
BRK.B,Berkshire Hathaway,Financials,Berkshire Hathaway
BBY,Best Buy Co. Inc.,Consumer Discretionary,Best Buy
BIO,Bio-Rad Laboratories,Health Care,Bio-Rad Laboratories
BIIB,Biogen Inc.,Health Care,Biogen
BLK,BlackRock,Financials,BlackRock
BA,Boeing Company,Industrials,Boeing Company
BKNG,Booking Holdings Inc,Consumer Discretionary,Booking Holdings
BWA,BorgWarner,Consumer Discretionary,BorgWarner
BXP,Boston Properties,Real Estate,Boston Properties
BSX,Boston Scientific,Health Care,Boston Scientific
BMY,Bristol-Myers Squibb,Health Care,Bristol-Myers Squibb
AVGO,Broadcom Inc.,Information Technology,Broadcom
BR,Broadridge Financial Solutions,Information Technology,Broadridge Financial Solutions
BF.B,Brown-Forman Corp.,Consumer Staples,Brown-Forman
CHRW,C. H. Robinson Worldwide,Industrials,Robinson Worldwide
COG,Cabot Oil & Gas,Energy,Cabot
CDNS,Cadence Design Systems,Information Technology,Cadence
CPB,Campbell Soup,Consumer Staples,Campbell
COF,Capital One Financial,Financials,Capital One
CAH,Cardinal Health Inc.,Health Care,Cardinal Health
KMX,Carmax Inc,Consumer Discretionary,Carmax
CCL,Carnival Corp.,Consumer Discretionary,Carnival
CARR,Carrier Global,Industrials,Carrier Global
CAT,Caterpillar Inc.,Industrials,Caterpillar
CBOE,Cboe Global Markets,Financials,Cboe
CBRE,CBRE Group,Real Estate,CBRE
CDW,CDW,Information Technology,CDW
CE,Celanese,Materials,Celanese
CNC,Centene Corporation,Health Care,Centene
CNP,CenterPoint Energy,Utilities,CenterPoint
CTL,CenturyLink Inc,Communication Services,CenturyLink
CERN,Cerner,Health Care,Cerner
CF,CF Industries Holdings Inc,Materials,CF Industries Holdings
SCHW,Charles Schwab Corporation,Financials,Charles Schwab
CHTR,Charter Communications,Communication Services,Charter Communications
CVX,Chevron Corp.,Energy,Chevron
CMG,Chipotle Mexican Grill,Consumer Discretionary,Chipotle Mexican Grill
CB,Chubb Limited,Financials,Chubb
CHD,Church & Dwight,Consumer Staples,Church & Dwight
CI,CIGNA Corp.,Health Care,CIGNA
CINF,Cincinnati Financial,Financials,Cincinnati Financial
CTAS,Cintas Corporation,Industrials,Cintas
CSCO,Cisco Systems,Information Technology,Cisco
C,Citigroup Inc.,Financials,Citi
CFG,Citizens Financial Group,Financials,Citizens Financial
CTXS,Citrix Systems,Information Technology,Citrix
CME,CME Group Inc.,Financials,CME
CMS,CMS Energy,Utilities,CMS
KO,Coca-Cola Company,Consumer Staples,Coca Cola
CTSH,Cognizant Technology Solutions,Information Technology,Cognizant
CL,Colgate-Palmolive,Consumer Staples,Colgate
CMCSA,Comcast Corp.,Communication Services,Comcast
CMA,Comerica Inc.,Financials,Comerica
CAG,Conagra Brands,Consumer Staples,Conagra
CXO,Concho Resources,Energy,Concho
COP,ConocoPhillips,Energy,ConocoPhillips
ED,Consolidated Edison,Utilities,Consolidated Edison
STZ,Constellation Brands,Consumer Staples,Constellation Brands
CPRT,Copart Inc,Industrials,Copart
GLW,Corning Inc.,Information Technology,Corning
CTVA,Corteva,Materials,Corteva
COST,Costco Wholesale Corp.,Consumer Staples,Costco Wholesale
COTY,Coty Inc,Consumer Staples,Coty
CCI,Crown Castle International Corp.,Real Estate,Crown Castle International
CSX,CSX Corp.,Industrials,CSX
CMI,Cummins Inc.,Industrials,Cummins
CVS,CVS Health,Health Care,CVS
DHI,D. R. Horton,Consumer Discretionary,Horton
DHR,Danaher Corp.,Health Care,Danaher
DRI,Darden Restaurants,Consumer Discretionary,Darden
DVA,DaVita Inc.,Health Care,DaVita
DE,Deere & Co.,Industrials,Deere
DAL,Delta Air Lines Inc.,Industrials,Delta
XRAY,Dentsply Sirona,Health Care,Dentsply
DVN,Devon Energy,Energy,Devon
DXCM,DexCom,Health Care,DexCom
FANG,Diamondback Energy,Energy,Diamondback
DLR,Digital Realty Trust Inc,Real Estate,Digital Realty Trust
DFS,Discover Financial Services,Financials,Discover Financial
DISCA,Discovery Inc. (Class A),Communication Services,Discovery
DISCK,Discovery Inc. (Class C),Communication Services,Discovery
DISH,Dish Network,Communication Services,Dish Network
DG,Dollar General,Consumer Discretionary,Dollar General
DLTR,Dollar Tree,Consumer Discretionary,Dollar Tree
D,Dominion Energy,Utilities,Dominion
DPZ,Domino's Pizza,Consumer Discretionary,Domino
DOV,Dover Corporation,Industrials,Dover
DOW,Dow Inc.,Materials,Dow
DTE,DTE Energy Co.,Utilities,DTE
DUK,Duke Energy,Utilities,Duke Energy
DRE,Duke Realty Corp,Real Estate,Duke Realty
DD,DuPont de Nemours Inc,Materials,DuPont
DXC,DXC Technology,Information Technology,DXC
ETFC,E*Trade,Financials,ETrade
EMN,Eastman Chemical,Materials,Eastman
ETN,Eaton Corporation,Industrials,Eaton
EBAY,eBay Inc.,Consumer Discretionary,eBay
ECL,Ecolab Inc.,Materials,Ecolab
EIX,Edison Int'l,Utilities,Edison
EW,Edwards Lifesciences,Health Care,Edwards
EA,Electronic Arts,Communication Services,EA
EMR,Emerson Electric Company,Industrials,Emerson
ETR,Entergy Corp.,Utilities,Entergy
EOG,EOG Resources,Energy,EOG
EFX,Equifax Inc.,Industrials,Equifax
EQIX,Equinix,Real Estate,Equinix
EQR,Equity Residential,Real Estate,Equity Residential
ESS,Essex Property Trust Inc.,Real Estate,Essex
EL,Estée Lauder Companies,Consumer Staples,Estée
RE,Everest Re Group Ltd.,Financials,Everest
EVRG,Evergy,Utilities,Evergy
ES,Eversource Energy,Utilities,Eversource
EXC,Exelon Corp.,Utilities,Exelon
EXPE,Expedia Group,Consumer Discretionary,Expedia
EXPD,Expeditors,Industrials,Expeditors
EXR,Extra Space Storage,Real Estate,Extra Space Storage
XOM,Exxon Mobil Corp.,Energy,Exxon
FFIV,F5 Networks,Information Technology,F5
FB,Facebook Inc.,Communication Services,Facebook
FAST,Fastenal Co,Industrials,Fastenal
FRT,Federal Realty Investment Trust,Real Estate,Federal Realty Investment Trust
FDX,FedEx Corporation,Industrials,FedEx
FIS,Fidelity National Information Services,Information Technology,Fidelity
FITB,Fifth Third Bancorp,Financials,Fifth Third
FRC,First Republic Bank,Financials,First Republic Bank
FE,FirstEnergy Corp,Utilities,FirstEnergy
FISV,Fiserv Inc,Information Technology,Fiserv
FLT,FleetCor Technologies Inc,Information Technology,FleetCor Technologies
FLIR,FLIR Systems,Information Technology,FLIR
FLS,Flowserve Corporation,Industrials,Flowserve
FMC,FMC Corporation,Materials,FMC
F,Ford Motor Company,Consumer Discretionary,Ford
FTNT,Fortinet,Information Technology,Fortinet
FTV,Fortive Corp,Industrials,Fortive
FBHS,Fortune Brands Home & Security,Industrials,Fortune Brands Home
FOXA,Fox Corporation (Class A),Communication Services,Fox Corporation
FOX,Fox Corporation (Class B),Communication Services,Fox Corporation
BEN,Franklin Resources,Financials,Franklin
FCX,Freeport-McMoRan Inc.,Materials,Freeport
GPS,Gap Inc.,Consumer Discretionary,Gap
GRMN,Garmin Ltd.,Consumer Discretionary,Garmin
IT,Gartner Inc,Information Technology,Gartner
GD,General Dynamics,Industrials,General Dynamics
GE,General Electric,Industrials,General Electric
GIS,General Mills,Consumer Staples,General Mills
GM,General Motors,Consumer Discretionary,General Motors
GPC,Genuine Parts,Consumer Discretionary,Genuine Parts
GILD,Gilead Sciences,Health Care,Gilead
GPN,Global Payments Inc.,Information Technology,Global Payments
GL,Globe Life Inc.,Financials,Globe Life
GS,Goldman Sachs Group,Financials,Goldman Sachs
GWW,Grainger (W.W.) Inc.,Industrials,Grainger
HRB,H&R Block,Consumer Discretionary,H&R
