Symbol,Name,CommonName,Sector
MMM,3M Company,3M,Industrials
AOS,A.O. Smith Corp,A.O. Smith,Industrials
ABT,Abbott Laboratories,Abbott,Health Care
ABBV,AbbVie Inc.,AbbVie,Health Care
ABMD,ABIOMED Inc,ABIOMED,Health Care
ACN,Accenture plc,Accenture,Information Technology
ATVI,Activision Blizzard,Activision,Communication Services
ADBE,Adobe Inc.,Adobe,Information Technology
AAP,Advance Auto Parts,Advance Auto Parts,Consumer Discretionary
AMD,Advanced Micro Devices Inc,AMD,Information Technology
AES,AES Corp,AES,Utilities
AFL,AFLAC Inc,AFLAC,Financials
A,Agilent Technologies Inc,Agilent,Health Care
APD,Air Products & Chemicals Inc,APD,Materials
AKAM,Akamai Technologies Inc,Akamai,Information Technology
ALK,Alaska Air Group Inc,Alaska Air,Industrials
ALB,Albemarle Corp,Albemarle,Materials
ARE,Alexandria Real Estate Equities,Alexandria,Real Estate
ALXN,Alexion Pharmaceuticals,Alexion,Health Care
ALGN,Align Technology,Align Technology,Health Care
ALLE,Allegion,Allegion,Industrials
LNT,Alliant Energy Corp,Alliant Energy,Utilities
ALL,Allstate Corp,Allstate,Financials
GOOGL,Alphabet Inc. (Class A),Google,Communication Services
GOOG,Alphabet Inc. (Class C),Google,Communication Services
MO,Altria Group Inc,Altria,Consumer Staples
AMZN,Amazon.com Inc.,Amazon,Consumer Discretionary
AMCR,Amcor plc,Amcor,Materials
AEE,Ameren Corp,Ameren,Utilities
AAL,American Airlines Group,American Airlines,Industrials
AEP,American Electric Power,American Electric,Utilities
AXP,American Express Co,American Express,Financials
AIG,American International Group,American International,Financials
AMT,American Tower Corp.,American Tower,Real Estate
AWK,American Water Works Company Inc,American Water Works Company,Utilities
AMP,Ameriprise Financial,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,AmerisourceBergen,Health Care
AME,AMETEK Inc.,AMETEK,Industrials
AMGN,Amgen Inc.,Amgen,Health Care
APH,Amphenol Corp,Amphenol,Information Technology
ADI,Analog Devices Inc.,Analog Devices,Information Technology
ANSS,ANSYS,ANSYS,Information Technology
ANTM,Anthem,Anthem,Health Care
AON,Aon plc,Aon,Financials
APA,Apache Corporation,Apache,Energy
AIV,Apartment Investment & Management,AIV,Real Estate
AAPL,Apple Inc.,Apple,Information Technology
AMAT,Applied Materials Inc.,Applied Materials,Information Technology
APTV,Aptiv PLC,Aptiv,Consumer Discretionary
ADM,Archer-Daniels-Midland Co,Archer-Daniels-Midland,Consumer Staples
ANET,Arista Networks,Arista,Information Technology
AJG,Arthur J. Gallagher & Co.,AJG,Financials
AIZ,Assurant,Assurant,Financials
T,AT&T Inc.,AT&T,Communication Services
ATO,Atmos Energy,Atmos Energy,Utilities
ADSK,Autodesk Inc.,Autodesk,Information Technology
ADP,Automatic Data Processing,ADP,Information Technology
AZO,AutoZone Inc,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,AvalonBay,Real Estate
AVY,Avery Dennison Corp,Avery Dennison,Materials
BKR,Baker Hughes Co,Baker Hughes,Energy
BLL,Ball Corp,Ball Corp,Materials
BAC,Bank of America Corp,Bank of America,Financials
BAX,Baxter International Inc.,Baxter International,Health Care
BDX,Becton Dickinson,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Best Buy,Consumer Discretionary
BIO,Bio-Rad Laboratories,Bio-Rad Laboratories,Health Care
BIIB,Biogen Inc.,Biogen,Health Care
BLK,BlackRock,BlackRock,Financials
BA,Boeing Company,Boeing Company,Industrials
BKNG,Booking Holdings Inc,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Boston Properties,Real Estate
BSX,Boston Scientific,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Bristol-Myers Squibb,Health Care
AVGO,Broadcom Inc.,Broadcom,Information Technology
BR,Broadridge Financial Solutions,Broadridge Financial Solutions,Information Technology
BF.B,Brown-Forman Corp.,Brown-Forman,Consumer Staples
CHRW,C. H. Robinson Worldwide,Robinson Worldwide,Industrials
COG,Cabot Oil & Gas,Cabot,Energy
CDNS,Cadence Design Systems,Cadence,Information Technology
CPB,Campbell Soup,Campbell,Consumer Staples
COF,Capital One Financial,Capital One,Financials
CAH,Cardinal Health Inc.,Cardinal Health,Health Care
KMX,Carmax Inc,Carmax,Consumer Discretionary
CCL,Carnival Corp.,Carnival,Consumer Discretionary
CARR,Carrier Global,Carrier Global,Industrials
CAT,Caterpillar Inc.,Caterpillar,Industrials
CBOE,Cboe Global Markets,Cboe,Financials
CBRE,CBRE Group,CBRE,Real Estate
CDW,CDW,CDW,Information Technology
CE,Celanese,Celanese,Materials
CNC,Centene Corporation,Centene,Health Care
CNP,CenterPoint Energy,CenterPoint,Utilities
CTL,CenturyLink Inc,CenturyLink,Communication Services
CERN,Cerner,Cerner,Health Care
CF,CF Industries Holdings Inc,CF Industries Holdings,Materials
SCHW,Charles Schwab Corporation,Charles Schwab,Financials
CHTR,Charter Communications,Charter Communications,Communication Services
CVX,Chevron Corp.,Chevron,Energy
CMG,Chipotle Mexican Grill,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Chubb,Financials
CHD,Church & Dwight,Church & Dwight,Consumer Staples
CI,CIGNA Corp.,CIGNA,Health Care
CINF,Cincinnati Financial,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Cintas,Industrials
CSCO,Cisco Systems,Cisco,Information Technology
C,Citigroup Inc.,Citi,Financials
CFG,Citizens Financial Group,Citizens Financial,Financials
CTXS,Citrix Systems,Citrix,Information Technology
CME,CME Group Inc.,CME,Financials
CMS,CMS Energy,CMS,Utilities
KO,Coca-Cola Company,Coca Cola,Consumer Staples
CTSH,Cognizant Technology Solutions,Cognizant,Information Technology
CL,Colgate-Palmolive,Colgate,Consumer Staples
CMCSA,Comcast Corp.,Comcast,Communication Services
CMA,Comerica Inc.,Comerica,Financials
CAG,Conagra Brands,Conagra,Consumer Staples
CXO,Concho Resources,Concho,Energy
COP,ConocoPhillips,ConocoPhillips,Energy
ED,Consolidated Edison,Consolidated Edison,Utilities
STZ,Constellation Brands,Constellation Brands,Consumer Staples
CPRT,Copart Inc,Copart,Industrials
GLW,Corning Inc.,Corning,Information Technology
CTVA,Corteva,Corteva,Materials
COST,Costco Wholesale Corp.,Costco Wholesale,Consumer Staples
COTY,Coty Inc,Coty,Consumer Staples
CCI,Crown Castle International Corp.,Crown Castle International,Real Estate
CSX,CSX Corp.,CSX,Industrials
CMI,Cummins Inc.,Cummins,Industrials
CVS,CVS Health,CVS,Health Care
DHI,D. R. Horton,Horton,Consumer Discretionary
DHR,Danaher Corp.,Danaher,Health Care
DRI,Darden Restaurants,Darden,Consumer Discretionary
DVA,DaVita Inc.,DaVita,Health Care
DE,Deere & Co.,Deere,Industrials
DAL,Delta Air Lines Inc.,Delta,Industrials
XRAY,Dentsply Sirona,Dentsply,Health Care
DVN,Devon Energy,Devon,Energy
DXCM,DexCom,DexCom,Health Care
FANG,Diamondback Energy,Diamondback,Energy
DLR,Digital Realty Trust Inc,Digital Realty Trust,Real Estate
DFS,Discover Financial Services,Discover Financial,Financials
DISCA,Discovery Inc. (Class A),Discovery,Communication Services
DISCK,Discovery Inc. (Class C),Discovery,Communication Services
DISH,Dish Network,Dish Network,Communication Services
DG,Dollar General,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Dominion,Utilities
DPZ,Domino's Pizza,Domino,Consumer Discretionary
DOV,Dover Corporation,Dover,Industrials
DOW,Dow Inc.,Dow,Materials
DTE,DTE Energy Co.,DTE,Utilities
DUK,Duke Energy,Duke Energy,Utilities
DRE,Duke Realty Corp,Duke Realty,Real Estate
DD,DuPont de Nemours Inc,DuPont,Materials
DXC,DXC Technology,DXC,Information Technology
ETFC,E*Trade,ETrade,Financials
EMN,Eastman Chemical,Eastman,Materials
ETN,Eaton Corporation,Eaton,Industrials
EBAY,eBay Inc.,eBay,Consumer Discretionary
ECL,Ecolab Inc.,Ecolab,Materials
EIX,Edison Int'l,Edison,Utilities
EW,Edwards Lifesciences,Edwards,Health Care
EA,Electronic Arts,EA,Communication Services
EMR,Emerson Electric Company,Emerson,Industrials
ETR,Entergy Corp.,Entergy,Utilities
EOG,EOG Resources,EOG,Energy
EFX,Equifax Inc.,Equifax,Industrials
EQIX,Equinix,Equinix,Real Estate
EQR,Equity Residential,Equity Residential,Real Estate
ESS,Essex Property Trust Inc.,Essex,Real Estate
EL,Estée Lauder Companies,Estée,Consumer Staples
RE,Everest Re Group Ltd.,Everest,Financials
EVRG,Evergy,Evergy,Utilities
ES,Eversource Energy,Eversource,Utilities
EXC,Exelon Corp.,Exelon,Utilities
EXPE,Expedia Group,Expedia,Consumer Discretionary
EXPD,Expeditors,Expeditors,Industrials
EXR,Extra Space Storage,Extra Space Storage,Real Estate
XOM,Exxon Mobil Corp.,Exxon,Energy
FFIV,F5 Networks,F5,Information Technology
FB,Facebook Inc.,Facebook,Communication Services
FAST,Fastenal Co,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate
FDX,FedEx Corporation,FedEx,Industrials
FIS,Fidelity National Information Services,Fidelity,Information Technology
FITB,Fifth Third Bancorp,Fifth Third,Financials
FRC,First Republic Bank,First Republic Bank,Financials
FE,FirstEnergy Corp,FirstEnergy,Utilities
FISV,Fiserv Inc,Fiserv,Information Technology
FLT,FleetCor Technologies Inc,FleetCor Technologies,Information Technology
FLIR,FLIR Systems,FLIR,Information Technology
FLS,Flowserve Corporation,Flowserve,Industrials
FMC,FMC Corporation,FMC,Materials
F,Ford Motor Company,Ford,Consumer Discretionary
FTNT,Fortinet,Fortinet,Information Technology
FTV,Fortive Corp,Fortive,Industrials
FBHS,Fortune Brands Home & Security,Fortune Brands Home,Industrials
FOXA,Fox Corporation (Class A),Fox Corporation,Communication Services
FOX,Fox Corporation (Class B),Fox Corporation,Communication Services
BEN,Franklin Resources,Franklin,Financials
FCX,Freeport-McMoRan Inc.,Freeport,Materials
GPS,Gap Inc.,Gap,Consumer Discretionary
GRMN,Garmin Ltd.,Garmin,Consumer Discretionary
IT,Gartner Inc,Gartner,Information Technology
GD,General Dynamics,General Dynamics,Industrials
GE,General Electric,General Electric,Industrials
GIS,General Mills,General Mills,Consumer Staples
GM,General Motors,General Motors,Consumer Discretionary
GPC,Genuine Parts,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Gilead,Health Care
GPN,Global Payments Inc.,Global Payments,Information Technology
GL,Globe Life Inc.,Globe Life,Financials
GS,Goldman Sachs Group,Goldman Sachs,Financials
GWW,Grainger (W.W.) Inc.,Grainger,Industrials
HRB,H&R Block,H&R,Consumer Discretionary
HAL,Halliburton Co.,Halliburton,Energy
HBI,Hanesbrands Inc,Hanesbrands,Consumer Discretionary
HIG,Hartford Financial Svc.Gp.,Hartford,Financials
HAS,Hasbro Inc.,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,HCA,Health Care
PEAK,Healthpeak Properties,Healthpeak,Real Estate
HSIC,Henry Schein,Henry Schein,Health Care
HES,Hess Corporation,Hess,Energy
HPE,Hewlett Packard Enterprise,Hewlett Packard,Information Technology
HLT,Hilton Worldwide Holdings Inc,Hilton,Consumer Discretionary
HFC,HollyFrontier Corp,HollyFrontier,Energy
HOLX,Hologic,Hologic,Health Care
HD,Home Depot,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Honeywell,Industrials
HRL,Hormel Foods Corp.,Hormel Foods,Consumer Staples
HST,Host Hotels & Resorts,Host Hotels,Real Estate
HWM,Howmet Aerospace,Howmet,Industrials
HPQ,HP Inc.,HP,Information Technology
HUM,Humana Inc.,Humana,Health Care
HBAN,Huntington Bancshares,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Huntington Ingalls,Industrials
IEX,IDEX Corporation,IDEX,Industrials
IDXX,IDEXX Laboratories,IDEXX,Health Care
INFO,IHS Markit Ltd.,IHS,Industrials
ITW,Illinois Tool Works,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Illumina,Health Care
INCY,Incyte,Incyte,Health Care
IR,Ingersoll Rand,Ingersol,Industrials
INTC,Intel Corp.,Intel,Information Technology
ICE,Intercontinental Exchange,Intercontinental Exchange,Financials
IBM,International Business Machines,International Business Machines,Information Technology
IFF,International Flavors & Fragrances,International Flavors & Fragrances,Materials
IP,International Paper,International Paper,Materials
IPG,Interpublic Group,Interpublic,Communication Services
INTU,Intuit Inc.,Intuit,Information Technology
ISRG,Intuitive Surgical Inc.,Intuitive Surgical,Health Care
IVZ,Invesco Ltd.,Invesco,Financials
IPGP,IPG Photonics Corp.,IPG Photonics,Information Technology
IQV,IQVIA Holdings Inc.,IQVIA Holdings,Health Care
IRM,Iron Mountain Incorporated,Iron Mountain,Real Estate
JBHT,J. B. Hunt Transport Services,Hunt Transport,Industrials
JKHY,Jack Henry & Associates,Jack Henry,Information Technology
J,Jacobs Engineering Group,Jacobs Engineering,Industrials
SJM,JM Smucker,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Johnson Controls,Industrials
JPM,JPMorgan Chase & Co.,JPMorgan,Financials
JNPR,Juniper Networks,Juniper,Information Technology
KSU,Kansas City Southern,Kansas City Southern,Industrials
K,Kellogg Co.,Kellogg,Consumer Staples
KEY,KeyCorp,KeyCorp,Financials
KEYS,Keysight Technologies,Keysight,Information Technology
KMB,Kimberly-Clark,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Kimco Realty,Real Estate
KMI,Kinder Morgan,Kinder Morgan,Energy
KLAC,KLA Corporation,KLA,Information Technology
KSS,Kohl's Corp.,Kohl's,Consumer Discretionary
KHC,Kraft Heinz Co,Kraft Heinz,Consumer Staples
KR,Kroger Co.,Kroger,Consumer Staples
LB,L Brands Inc.,L Brands,Consumer Discretionary
LHX,L3Harris Technologies,L3Harris,Industrials
LH,Laboratory Corp. of America Holding,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Lam Research,Information Technology
LW,Lamb Weston Holdings Inc,Lamb Weston Holdings,Consumer Staples
LVS,Las Vegas Sands,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Leggett,Consumer Discretionary
LDOS,Leidos Holdings,Leidos,Information Technology
LEN,Lennar Corp.,Lennar,Consumer Discretionary
LLY,Lilly (Eli) & Co.,Lilly,Health Care
LNC,Lincoln National,Lincoln National,Financials
LIN,Linde plc,Linde,Materials
LYV,Live Nation Entertainment,Live Nation Entertainment,Communication Services
LKQ,LKQ Corporation,LKQ,Consumer Discretionary
LMT,Lockheed Martin Corp.,Lockheed Martin,Industrials
L,Loews Corp.,Loews,Financials
LOW,Lowe's Cos.,Lowe's,Consumer Discretionary
LYB,LyondellBasell,LyondellBasell,Materials
MTB,M&T Bank Corp.,M&T,Financials
MRO,Marathon Oil Corp.,Marathon Oil,Energy
MPC,Marathon Petroleum,Marathon Petroleum,Energy
MKTX,MarketAxess,MarketAxess,Financials
MAR,Marriott Int'l.,Marriott,Consumer Discretionary
MMC,Marsh & McLennan,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Martin Marietta Materials,Materials
MAS,Masco Corp.,Masco,Industrials
MA,Mastercard Inc.,Mastercard,Information Technology
MXIM,Maxim Integrated Products Inc,Maxim Integrated Products,Information Technology
MKC,McCormick & Co.,McCormick,Consumer Staples
MCD,McDonald's Corp.,McDonald's,Consumer Discretionary
MCK,McKesson Corp.,McKesson,Health Care
MDT,Medtronic plc,Medtronic,Health Care
MRK,Merck & Co.,Merck,Health Care
MET,MetLife Inc.,MetLife,Financials
MTD,Mettler Toledo,Mettler Toledo,Health Care
MGM,MGM Resorts International,MGM,Consumer Discretionary
MCHP,Microchip Technology,Microchip Technology,Information Technology
MU,Micron Technology,Micron,Information Technology
MSFT,Microsoft Corp.,Microsoft,Information Technology
MAA,Mid-America Apartments,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Mohawk,Consumer Discretionary
TAP,Molson Coors Beverage Company,Molson Coors,Consumer Staples
MDLZ,Mondelez International,Mondelez,Consumer Staples
MNST,Monster Beverage,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Moody's,Financials
MS,Morgan Stanley,Morgan,Financials
MSI,Motorola Solutions Inc.,Motorola,Information Technology
MSCI,MSCI Inc,MSCI,Financials
MYL,Mylan N.V.,Mylan,Health Care
NDAQ,Nasdaq Inc.,Nasdaq,Financials
NOV,National Oilwell Varco Inc.,National Oilwell Varco,Energy
NTAP,NetApp,NetApp,Information Technology
NFLX,Netflix Inc.,Netflix,Communication Services
NWL,Newell Brands,Newell,Consumer Discretionary
NEM,Newmont Corporation,Newmont,Materials
NWSA,News Corp. Class A,News Corp,Communication Services
NWS,News Corp. Class B,News Corp,Communication Services
NEE,NextEra Energy,NextEra,Utilities
NLSN,Nielsen Holdings,Nielsen,Industrials
NKE,Nike Inc.,Nike,Consumer Discretionary
NI,NiSource Inc.,NiSource,Utilities
NBL,Noble Energy,Noble Energy,Energy
NSC,Norfolk Southern Corp.,Norfolk Southern,Industrials
NTRS,Northern Trust Corp.,Northern Trust,Financials
NOC,Northrop Grumman,Northrop Grumman,Industrials
NLOK,NortonLifeLock,NortonLifeLock,Information Technology
NCLH,Norwegian Cruise Line Holdings,Norwegian Cruise,Consumer Discretionary
NRG,NRG Energy,NRG,Utilities
NUE,Nucor Corp.,Nucor,Materials
